temp,a_ii,a_jj,a_ij,a_ji,nd,rfd,error
40C,1.53314991496806,2.92624633223759,0.5001,-0.4999,NaN,NaN,337.113928051897
32C,NA,NA,NA,NA,NA,NA,NA
34C,6.74055124669805,1.0899590908047,0.5,0.5,0.815533631580061,2.48681001925376,51.8838457694714
36C,2.28560882511529,1.10550694835722,0.5,0.5001,0.685419542984701,1.43772819188756,10.4888754010745
38C,2.15276169396057,1.90570981961024,0.5,0.5,0.753144027039572,1.06284416502915,7.29030463284693
40C,1.38432720518694,11.7618184479727,0.5001,0.5001,0.876063210490871,0.343069524977035,6.98095816849882
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,1.4833338728234,1.44919126906407,-0.4999,1.0001,NaN,NaN,347.490484863049
34C,12.810187508272,0.925157231622307,-0.5,1,NaN,NaN,34.2885972653151
36C,NA,NA,NA,NA,NA,NA,NA
38C,2.59008765466364,0.863566628907519,-0.5,1,NaN,NaN,9.41315289336601
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,6.733589637963,1.32863947021699,0.5,-1,NaN,NaN,48.0570907946582
36C,2.26530408274882,1.59397870558416,0.5,-0.9999,NaN,NaN,13.6770495045582
38C,2.13436172522026,4.91699288374063,0.5,-0.9999,NaN,NaN,4.72774203588963
40C,1.52587980087313,3.51431260448593,0.5001,-0.9999,NaN,NaN,334.445413916478
32C,NA,NA,NA,NA,NA,NA,NA
34C,6.74110704814776,1.01185588192883,0.5,1,0.729255240021017,1.82511940974339,53.4949547968956
36C,2.29790203083065,0.954375489840698,0.5,1,0.522515136233407,1.09721343814015,10.1808237719509
38C,2.12972763577409,0.86717744980312,0.5,1,0.479681843324095,1.10813595766771,10.8344489170291
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,1.49841428974958,0.508126673336043,-0.4999,1.5001,NaN,NaN,480.872015677079
34C,12.7806320538624,0.851522364076962,-0.5,1.5,NaN,NaN,36.0150116196355
36C,5.67260679229467,0.774744748903107,-0.4999,1.5001,NaN,NaN,6.09568278980578
38C,2.69575252337879,0,-0.5,1.5,NaN,NaN,14.3995785468306
40C,NA,NA,NA,NA,NA,NA,NA
32C,0.50472141685011,0.536093413536927,0.5001,-1.4999,NaN,NaN,374.037147790315
34C,6.73002175113446,1.40984710448052,0.5,-1.5,NaN,NaN,47.0649035478188
36C,2.25696885523744,1.76446194233736,0.5,-1.4999,NaN,NaN,14.9645863513797
38C,2.11785794059915,5.96019237043006,0.5,-1.4999,NaN,NaN,5.40913616549819
40C,1.51447264751352,3.92581671314144,0.5001,-1.4999,NaN,NaN,330.921118077631
32C,NA,NA,NA,NA,NA,NA,NA
34C,6.73985100740019,0.934277605240575,0.5,1.5,0.654882076872783,1.55069558790722,55.2962576643634
36C,2.31629830458503,0.810052802005116,0.5,1.5,0.367767637271493,0.976292499927887,10.6200058876181
38C,2.21741616907705,0,0.5,1.5,-Inf,Inf,15.7854918150898
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,1.49990437405932,0.50461772355848,-0.4999,2.0001,NaN,NaN,481.697918737211
34C,12.7507201771203,0.778102107524406,-0.5,2,NaN,NaN,37.917701415345
36C,5.67608327154097,0.63250565611915,-0.4999,2,NaN,NaN,6.13925257657021
38C,3.49565997178916,0,-0.5,2,NaN,NaN,33.3639843951026
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,6.72590962750303,1.49189511157574,0.5,-2,NaN,NaN,46.1881128905757
36C,2.24664574180274,1.93684829060761,0.5,-1.9999,NaN,NaN,16.2224885643234
38C,2.09864989598746,7.03127161285265,0.5,-1.9999,NaN,NaN,6.32097550600239
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,6.73585078733382,0.857043457679396,0.5,2,0.583799738321004,1.4017314301595,57.2963066218123
36C,2.33565666777188,0.670953618319431,0.5,2,0.201179413560782,0.932885314535099,11.9687758299946
38C,2.86437080496484,0,0.5,2,-Inf,Inf,34.8011269457729
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,1.54609423810969,1.44919631865082,-0.4999,2.5001,NaN,NaN,347.490484864923
34C,12.7206254368575,0.704865099814797,-0.5,2.5,NaN,NaN,40.0059226476675
36C,5.68130127691398,0.493068478744437,-0.4999,2.5,NaN,NaN,6.58843257666506
38C,4.34939572843562,0,-0.5,2.5,NaN,NaN,56.3337282978786
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,6.72118559393278,1.57476058043989,0.5,-2.5,NaN,NaN,45.4121326057634
36C,2.23451645106395,2.1102032158716,0.5,-2.4999,NaN,NaN,17.4152934311737
38C,2.07817590676691,8.12762922566773,0.5,-2.4999,NaN,NaN,7.30593805241769
40C,1.36729512599245,66.3270210950187,0.5,-2.4999,NaN,NaN,9.51430744684592
32C,NA,NA,NA,NA,NA,NA,NA
34C,0.540976996414579,0.505516171430036,0.5001,2.50000379296379,-1.13816804795167,0.462679189394044,189.272299594379
36C,NA,NA,NA,NA,NA,NA,NA
38C,3.51546202427358,0,0.5,2.5,-Inf,Inf,57.7244981955922
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,5.68903540765243,0.356873551587232,-0.4999,3,NaN,NaN,7.51072354863283
38C,5.22038695027026,0,-0.5,3,NaN,NaN,77.0671434297909
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,2.22100001885421,2.28376487162998,0.5,-2.9999,NaN,NaN,18.5256403713913
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,6.7125002093713,0.702610600609124,0.5,3,0.436042827511051,1.26185421280284,61.8978033511234
36C,NA,NA,NA,NA,NA,NA,NA
38C,4.10377304396008,0,0.5,3,-Inf,Inf,78.2982037258973
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,12.6595606822219,0.558795922014231,-0.5,3.5,NaN,NaN,44.7660950752588
36C,5.69868192182283,0.224214172332006,-0.4999,3.5,NaN,NaN,8.95064164164376
38C,6.06214852940181,0,-0.5,3.5,NaN,NaN,94.6144253251363
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,2.20653439069549,2.4569904052443,0.5,-3.4999,NaN,NaN,19.5473825960516
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,6.68768291576404,0.624739154381601,0.5,3.5,0.352809960323496,1.2366290775992,64.4821362569413
36C,2.23030426635611,0.235751905693825,0.5,3.5,-0.824355039777843,1.16253337958994,19.5474533662594
38C,4.57151990472818,0,0.5,3.5,-Inf,Inf,95.4831630837921
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,15.5744080981909,0.827586075876068,-0.5,4,NaN,NaN,75.6003666622216
34C,12.627801175611,0.485873091290356,-0.5,4,NaN,NaN,47.4442644377932
36C,5.70643526242247,0.0947419392213581,-0.5,4,NaN,NaN,10.9015363449359
38C,6.79759857452148,0,-0.5,4,NaN,NaN,109.204684235769
40C,1.55647388716466,0,-0.4999,4,NaN,NaN,257.667541395003
32C,NA,NA,NA,NA,NA,NA,NA
34C,6.70255272557396,1.82794269087169,0.5,-4,NaN,NaN,43.5631845003126
36C,2.19150066982954,2.62944003863856,0.5,-3.9999,NaN,NaN,20.4810188690053
38C,0.517684991658782,6.52931353815407,0.5001,-3.9999,NaN,NaN,187.968552339247
40C,1.36203461856941,93.9581628596948,0.5,-3.9999,NaN,NaN,9.92047417142221
32C,NA,NA,NA,NA,NA,NA,NA
34C,6.64909056514308,0.545919134480138,0.5,4,0.257716656417717,1.23387729411896,67.2276243128967
36C,NA,NA,NA,NA,NA,NA,NA
38C,4.98220983269939,0,0.5001,4,-Inf,Inf,109.561174115657
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,12.5941058196349,0.412918129319587,-0.5,4.5,NaN,NaN,50.3185510464
36C,5.86581627644802,0,-0.5,4.5,NaN,NaN,13.3976255637906
38C,7.35540035880175,0,-0.5,4.5,NaN,NaN,121.239789507551
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,2.17629256148876,2.80086312004922,0.5,-4.4999,NaN,NaN,21.3307568979767
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,0.614458799375308,0.493909869123373,0.500007923963041,4.5001,-1.72288493912001,0.371791873631428,230.445691275589
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,5.40837367613997,0,0.5001,4.5,-Inf,Inf,121.158230957321
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,NA,NA,NA,NA,NA,NA,NA
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,12.5569898879011,0.339848160809966,-0.5,5,NaN,NaN,53.3803963072047
36C,6.48890576847682,0,-0.5,5,NaN,NaN,18.2819226044334
38C,2.33341866978315,0,-0.4999,5,NaN,NaN,175.918859814985
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,6.68679250186174,1.99973409145229,0.5,-5,NaN,NaN,42.6285060365239
36C,2.16117790458185,2.9710839669979,0.5,-4.9999,NaN,NaN,22.1026727794051
38C,1.98727934713678,13.8495083300802,0.5,-4.9999,NaN,NaN,11.4326459837228
40C,1.3602220461269,112.327178134322,0.5,-4.9999,NaN,NaN,10.0652142191405
32C,NA,NA,NA,NA,NA,NA,NA
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,5.86925670549387,0,0.5001,5,-Inf,Inf,130.840222595729
40C,NA,NA,NA,NA,NA,NA,NA
32C,2.65403670609569,1.44919726658563,-0.9999,1e-04,NaN,NaN,347.490484855058
34C,1.45449158627167,1.08334496061326,-0.9999,1e-04,NaN,NaN,385.173774511922
36C,NA,NA,NA,NA,NA,NA,NA
38C,2.85941157414443,2.88065272781378,-1,0,1,NaN,4.02012741037989
40C,NA,NA,NA,NA,NA,NA,NA
32C,4.61531075459368,1.66345775964395,1,0,1,Inf,101.925974678111
34C,3.974865582457,1.33563507951649,1,0,1,Inf,69.8102256730231
36C,0.732502294103259,1.39251891799547,1,0,1,Inf,19.823896883961
38C,0.526498708401482,0.504852658255533,1.0001,1e-04,0.980602724465451,102.126405154478,288.527175423406
40C,0.512954086342059,1.47741147466996,1.00000826470143,1e-04,0.988512862651582,58.9237404324367,630
32C,NA,NA,NA,NA,NA,NA,NA
