,11:59:33,32.1,,,,,,,,,,,,0.082,0.439,0.413,0.357,0.439,0.46,0.475,0.46,0.475,0.475,0.084,,,,,,,,,,,
,12:09:33,32.1,,,,,,,,,,,,0.083,0.428,0.42,0.388,0.459,0.478,0.482,0.487,0.37,0.467,0.084,,,,,,,,,,,
,12:19:33,32.1,,,,,,,,,,,,0.082,0.464,0.438,0.416,0.49,0.508,0.488,0.555,0.421,0.524,0.084,,,,,,,,,,,
,12:29:33,32,,,,,,,,,,,,0.082,0.481,0.448,0.425,0.499,0.524,0.492,0.57,0.417,0.535,0.083,,,,,,,,,,,
,12:39:33,32,,,,,,,,,,,,0.082,0.503,0.459,0.445,0.515,0.547,0.495,0.578,0.472,0.584,0.083,,,,,,,,,,,
,12:49:33,32.1,,,,,,,,,,,,0.082,0.511,0.467,0.459,0.509,0.578,0.5,0.577,0.465,0.571,0.084,,,,,,,,,,,
,12:59:33,32.1,,,,,,,,,,,,0.082,0.525,0.477,0.453,0.488,0.576,0.504,0.645,0.521,0.626,0.083,,,,,,,,,,,
,13:09:33,32.1,,,,,,,,,,,,0.082,0.559,0.503,0.488,0.495,0.624,0.492,0.686,0.557,0.605,0.084,,,,,,,,,,,
,13:19:33,32,,,,,,,,,,,,0.083,0.574,0.518,0.507,0.468,0.654,0.472,0.691,0.522,0.64,0.084,,,,,,,,,,,
,13:29:33,32,,,,,,,,,,,,0.083,0.587,0.539,0.53,0.433,0.646,0.468,0.68,0.582,0.671,0.084,,,,,,,,,,,
,13:39:33,32.1,,,,,,,,,,,,0.082,0.604,0.557,0.523,0.403,0.669,0.448,0.788,0.577,0.705,0.084,,,,,,,,,,,
,13:49:33,32.1,,,,,,,,,,,,0.082,0.609,0.549,0.556,0.4,0.672,0.455,0.794,0.648,0.723,0.083,,,,,,,,,,,
,13:59:33,32.1,,,,,,,,,,,,0.082,0.628,0.585,0.574,0.411,0.671,0.437,0.802,0.686,0.71,0.084,,,,,,,,,,,
,14:09:33,32.1,,,,,,,,,,,,0.082,0.63,0.601,0.58,0.413,0.667,0.41,0.856,0.737,0.781,0.084,,,,,,,,,,,
,14:19:33,32,,,,,,,,,,,,0.082,0.635,0.625,0.607,0.404,0.609,0.443,0.873,0.803,0.774,0.083,,,,,,,,,,,
,14:29:33,32.1,,,,,,,,,,,,0.082,0.671,0.622,0.617,0.42,0.604,0.494,0.851,0.814,0.84,0.084,,,,,,,,,,,
,14:39:33,32.1,,,,,,,,,,,,0.082,0.667,0.627,0.641,0.429,0.572,0.459,0.901,0.856,0.844,0.084,,,,,,,,,,,
,14:49:33,32,,,,,,,,,,,,0.083,0.684,0.664,0.653,0.465,0.576,0.458,0.904,0.86,0.859,0.084,,,,,,,,,,,
,14:59:33,32,,,,,,,,,,,,0.083,0.662,0.635,0.673,0.469,0.568,0.485,0.952,0.874,0.854,0.084,,,,,,,,,,,
,15:09:33,32,,,,,,,,,,,,0.082,0.709,0.642,0.649,0.473,0.569,0.542,0.941,0.885,0.856,0.084,,,,,,,,,,,
,15:19:33,32.1,,,,,,,,,,,,0.083,0.697,0.688,0.639,0.482,0.545,0.508,0.986,0.9,0.864,0.084,,,,,,,,,,,
,15:29:33,32.1,,,,,,,,,,,,0.083,0.718,0.696,0.655,0.515,0.573,0.547,0.931,0.891,0.891,0.084,,,,,,,,,,,
,15:39:33,32.1,,,,,,,,,,,,0.082,0.719,0.694,0.669,0.486,0.552,0.526,0.974,0.888,0.901,0.084,,,,,,,,,,,
,15:49:33,32.1,,,,,,,,,,,,0.083,0.723,0.696,0.672,0.52,0.568,0.56,0.978,0.89,0.88,0.084,,,,,,,,,,,
,15:59:33,32,,,,,,,,,,,,0.082,0.732,0.703,0.682,0.518,0.56,0.557,0.964,0.922,0.963,0.084,,,,,,,,,,,
,16:09:33,32.1,,,,,,,,,,,,0.083,0.744,0.71,0.699,0.521,0.59,0.612,1.01,0.973,0.963,0.084,,,,,,,,,,,
,16:19:33,32.1,,,,,,,,,,,,0.083,0.745,0.716,0.692,0.517,0.572,0.601,1.047,0.964,0.942,0.084,,,,,,,,,,,
,16:29:33,32.1,,,,,,,,,,,,0.083,0.747,0.722,0.704,0.528,0.588,0.599,1.044,0.97,0.94,0.084,,,,,,,,,,,
,16:39:33,32,,,,,,,,,,,,0.082,0.763,0.73,0.715,0.555,0.586,0.576,1.037,0.995,0.958,0.084,,,,,,,,,,,
,16:49:33,32,,,,,,,,,,,,0.083,0.768,0.729,0.722,0.538,0.577,0.595,1.037,0.97,0.983,0.084,,,,,,,,,,,
,16:59:33,32.1,,,,,,,,,,,,0.083,0.769,0.738,0.728,0.557,0.6,0.569,1.082,0.983,1.033,0.084,,,,,,,,,,,
,17:09:33,32.1,,,,,,,,,,,,0.083,0.781,0.747,0.727,0.565,0.623,0.582,1.063,1.01,1.03,0.084,,,,,,,,,,,
,17:19:33,32,,,,,,,,,,,,0.083,0.787,0.751,0.735,0.556,0.621,0.611,1.08,0.993,1.062,0.084,,,,,,,,,,,
,17:29:33,32,,,,,,,,,,,,0.083,0.791,0.76,0.759,0.55,0.614,0.614,1.022,1.021,1.05,0.084,,,,,,,,,,,
,17:39:33,32,,,,,,,,,,,,0.083,0.799,0.769,0.76,0.557,0.617,0.628,1.087,1.063,1.041,0.084,,,,,,,,,,,
,17:49:33,32.1,,,,,,,,,,,,0.083,0.803,0.772,0.766,0.554,0.612,0.647,1.061,1.091,1.022,0.084,,,,,,,,,,,
,17:59:33,32,,,,,,,,,,,,0.083,0.813,0.775,0.77,0.586,0.644,0.634,1.111,1.071,1.054,0.084,,,,,,,,,,,
,18:09:33,32.1,,,,,,,,,,,,0.083,0.81,0.779,0.783,0.569,0.654,0.616,1.095,1.046,1.035,0.084,,,,,,,,,,,
,18:19:33,32,,,,,,,,,,,,0.082,0.821,0.789,0.784,0.575,0.676,0.597,1.068,1.058,1.056,0.084,,,,,,,,,,,
,18:29:33,32,,,,,,,,,,,,0.083,0.826,0.791,0.782,0.565,0.642,0.631,1.113,1.073,1.039,0.084,,,,,,,,,,,
,18:39:33,32,,,,,,,,,,,,0.083,0.825,0.791,0.783,0.555,0.659,0.696,1.097,1.075,1.03,0.084,,,,,,,,,,,
,18:49:33,32,,,,,,,,,,,,0.083,0.834,0.798,0.787,0.606,0.67,0.694,1.101,1.117,1.065,0.084,,,,,,,,,,,
,18:59:33,32.1,,,,,,,,,,,,0.082,0.84,0.807,0.795,0.639,0.676,0.64,1.116,1.073,1.058,0.084,,,,,,,,,,,
,19:09:33,32,,,,,,,,,,,,0.083,0.843,0.808,0.797,0.639,0.679,0.671,1.143,1.107,1.036,0.084,,,,,,,,,,,
,19:19:33,32,,,,,,,,,,,,0.083,0.846,0.81,0.799,0.624,0.696,0.746,1.129,1.102,1.032,0.084,,,,,,,,,,,
,19:29:33,32,,,,,,,,,,,,0.082,0.855,0.817,0.806,0.598,0.698,0.716,1.107,1.092,1.077,0.084,,,,,,,,,,,
,19:39:33,32,,,,,,,,,,,,0.082,0.856,0.819,0.817,0.644,0.723,0.749,1.157,1.099,1.05,0.084,,,,,,,,,,,
,19:49:33,32.1,,,,,,,,,,,,0.082,0.862,0.823,0.817,0.655,0.733,0.8,1.147,1.14,1.085,0.084,,,,,,,,,,,
,19:59:33,32,,,,,,,,,,,,0.083,0.865,0.824,0.823,0.629,0.748,0.763,1.142,1.105,1.08,0.084,,,,,,,,,,,
,20:09:33,32,,,,,,,,,,,,0.083,0.869,0.828,0.828,0.627,0.764,0.718,1.159,1.131,1.085,0.084,,,,,,,,,,,
,20:19:33,32,,,,,,,,,,,,0.083,0.875,0.835,0.83,0.59,0.755,0.73,1.136,1.108,1.105,0.084,,,,,,,,,,,
,20:29:33,32,,,,,,,,,,,,0.083,0.877,0.837,0.836,0.648,0.758,0.686,1.146,1.128,1.106,0.084,,,,,,,,,,,
,20:39:33,32.1,,,,,,,,,,,,0.083,0.877,0.838,0.841,0.665,0.788,0.784,1.145,1.16,1.096,0.084,,,,,,,,,,,
,20:49:33,32,,,,,,,,,,,,0.083,0.882,0.84,0.842,0.7,0.8,0.712,1.152,1.099,1.086,0.084,,,,,,,,,,,
,20:59:33,32,,,,,,,,,,,,0.083,0.886,0.844,0.843,0.655,0.796,0.817,1.141,1.133,1.105,0.084,,,,,,,,,,,
,21:09:33,32,,,,,,,,,,,,0.083,0.889,0.846,0.841,0.639,0.815,0.806,1.138,1.141,1.127,0.084,,,,,,,,,,,
